,player_name,club,position,minutes_played,match_played,goals,assists,distance_covered,conceded,balls_recoverd,tackles,t_won,t_lost,clearance_attempted,corner_taken,offsides,dribbles,fouls_committed,fouls_suffered,yellow,red,right_foot,left_foot,headers,others,inside_area,outside_areas,penalties,total_attempts,on_target,off_target,on_target_rate,blocked,pass_accuracy,pass_attempted,pass_completed,cross_accuracy,cross_attempted,cross_complted,freekicks_taken
67,Grimaldo,Benfica,Defender,863,10,0,3,107.7,,34.0,15.0,6.0,9.0,24.0,11.0,1.0,10.0,5.0,9.0,2.0,0.0,,,,,,,,3.0,1.0,1.0,0.3333333333333333,1.0,81.1,319.0,257.0,41.0,34.0,14.0,21.0
68,Rodri,Man. City,Midfielder,842,10,0,0,114.6,,52.0,14.0,10.0,4.0,5.0,,,,19.0,4.0,2.0,0.0,,,,,,,,6.0,0.0,1.0,0.0,5.0,94.2,806.0,760.0,0.0,1.0,0.0,13.0
69,João Cancelo,Man. City,Defender,840,9,2,3,100.3,,56.0,9.0,6.0,3.0,13.0,0.0,2.0,26.0,11.0,4.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,11.0,4.0,3.0,0.36363636363636365,4.0,88.0,668.0,586.0,20.0,29.0,6.0,11.0
70,Rüdiger,Chelsea,Defender,840,9,1,0,88.4,,46.0,9.0,5.0,4.0,16.0,,,,11.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,11.0,1.0,8.0,0.09090909090909091,2.0,90.3,750.0,681.0,0.0,4.0,0.0,12.0
71,Mendy,Chelsea,Goalkeeper,840,9,0,0,57.4,7.0,,,,,,,,,,,,,,,,,,,,,,,,,85.0,208.0,173.0,0.0,0.0,0.0,7.0
72,Reinildo,LOSC,Defender,816,10,0,0,88.8,,,,,,,,,,,,,,,,,,,,,,,,,,81.1,364.0,302.0,30.0,10.0,3.0,11.0
73,Neuer,Bayern,Goalkeeper,810,9,0,1,51.2,6.0,,,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,90.9,352.0,318.0,0.0,0.0,0.0,8.0
74,Weigl,Benfica,Midfielder,810,9,0,0,112.0,,35.0,23.0,12.0,11.0,12.0,,,,10.0,5.0,2.0,0.0,,,,,,,,2.0,1.0,0.0,0.5,1.0,89.1,351.0,316.0,0.0,3.0,0.0,8.0
75,Otamendi,Benfica,Defender,810,9,0,0,91.2,,63.0,28.0,17.0,11.0,48.0,,,,17.0,11.0,2.0,0.0,,,,,,,,4.0,1.0,3.0,0.25,0.0,84.3,380.0,328.0,0.0,1.0,0.0,14.0
76,Sané,Bayern,Midfielder,798,10,6,6,94.0,,23.0,1.0,0.0,1.0,0.0,3.0,3.0,32.0,2.0,5.0,0.0,0.0,1.0,5.0,0.0,0.0,3.0,3.0,0.0,33.0,13.0,12.0,0.3939393939393939,8.0,86.8,398.0,346.0,26.0,19.0,5.0,8.0
77,Laporte,Man. City,Defender,794,9,0,0,90.9,,51.0,5.0,1.0,4.0,17.0,,,,4.0,2.0,2.0,0.0,,,,,,,,5.0,1.0,4.0,0.2,0.0,94.7,707.0,672.0,0.0,0.0,0.0,10.0
78,Müller,Bayern,Forward,778,10,4,3,98.5,,18.0,8.0,3.0,5.0,2.0,10.0,8.0,2.0,11.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,3.0,1.0,0.0,14.0,8.0,3.0,0.5714285714285714,3.0,78.9,366.0,283.0,28.0,25.0,7.0,1.0
79,Pavard,Bayern,Defender,764,10,0,1,96.7,,55.0,12.0,7.0,5.0,17.0,0.0,2.0,0.0,9.0,4.0,0.0,0.0,,,,,,,,10.0,2.0,7.0,0.2,1.0,90.2,676.0,613.0,33.0,12.0,4.0,10.0
